airport1,airport2,date1,airport3,airport4,date2,price1,price2,price3
NYC,XNN,06/14/2011,Kathmandu,NYC,06/25/2011,2355,2464,2587,3330
NYC,XNN,06/14/2011,Kathmandu,NYC,06/26/2011,2661,2771,3891,4693
NYC,XNN,06/15/2011,Kathmandu,NYC,06/23/2011,2741,2851,3308,3431
NYC,XNN,06/15/2011,Kathmandu,NYC,06/24/2011,2741,3431,4879,4894
NYC,XNN,06/15/2011,Kathmandu,NYC,06/25/2011,2263,2405,2514,2518
NYC,XNN,06/15/2011,Kathmandu,NYC,06/26/2011,2711,3431,4859,4874
NYC,XNN,06/15/2011,Kathmandu,NYC,06/27/2011,2488,3122,3130,3186
NYC,XNN,06/16/2011,Kathmandu,NYC,06/24/2011,2741,2851,3871,3946
NYC,XNN,06/16/2011,Kathmandu,NYC,06/25/2011,2405,2514,2637,3077
NYC,XNN,06/16/2011,Kathmandu,NYC,06/26/2011,2711,2821,2942,3383
NYC,XNN,06/16/2011,Kathmandu,NYC,06/27/2011,3130,3186,3298,3307
NYC,XNN,06/16/2011,Kathmandu,NYC,06/28/2011,2437,2546,2942,3109
NYC,XNN,06/17/2011,Kathmandu,NYC,06/25/2011,2470,2579,3036,3330
NYC,XNN,06/17/2011,Kathmandu,NYC,06/26/2011,2776,2886,3343,3877
NYC,XNN,06/17/2011,Kathmandu,NYC,06/27/2011,2987,3165,3221,3317
NYC,XNN,06/17/2011,Kathmandu,NYC,06/28/2011,2502,2611,3317,3343
NYC,XNN,06/17/2011,Kathmandu,NYC,06/29/2011,3347,3557,3749,3858
NYC,XNN,06/18/2011,Kathmandu,NYC,06/26/2011,2776,2886,3007,3540
NYC,XNN,06/18/2011,Kathmandu,NYC,06/27/2011,2633,3165,3221,3231
NYC,XNN,06/18/2011,Kathmandu,NYC,06/28/2011,2502,2611,2633,3007
NYC,XNN,06/18/2011,Kathmandu,NYC,06/29/2011,2663,3347,3557,3749
NYC,XNN,06/18/2011,Kathmandu,NYC,06/30/2011,2806,2916,3037,3231
NYC,XNN,06/19/2011,Kathmandu,NYC,06/27/2011,3130,3186,3307,3317
NYC,XNN,06/19/2011,Kathmandu,NYC,06/28/2011,2437,2546,2942,3120
NYC,XNN,06/19/2011,Kathmandu,NYC,06/29/2011,3347,3607,3714,3823
NYC,XNN,06/19/2011,Kathmandu,NYC,06/30/2011,2741,2851,2972,3904
NYC,XNN,06/19/2011,Kathmandu,NYC,07/01/2011,2741,4247,4507,4879
NYC,XNN,06/20/2011,Kathmandu,NYC,06/28/2011,2632,2633,2714,2741
NYC,XNN,06/20/2011,Kathmandu,NYC,06/29/2011,2663,3425,3506,3844
NYC,XNN,06/20/2011,Kathmandu,NYC,06/30/2011,2906,2936,3046,3231
NYC,XNN,06/20/2011,Kathmandu,NYC,07/01/2011,2936,3540,4325,4406
NYC,XNN,06/20/2011,Kathmandu,NYC,07/02/2011,3231,3260,3369,3515
NYC,XNN,06/21/2011,Kathmandu,NYC,06/29/2011,3328,3506,3659,3768
NYC,XNN,06/21/2011,Kathmandu,NYC,06/30/2011,2691,2801,2922,3339
NYC,XNN,06/21/2011,Kathmandu,NYC,07/01/2011,2691,4228,4406,4879
NYC,XNN,06/21/2011,Kathmandu,NYC,07/02/2011,3075,3184,3330,3836
NYC,XNN,06/21/2011,Kathmandu,NYC,07/03/2011,2661,2771,2892,4208
NYC,XNN,06/22/2011,Kathmandu,NYC,06/30/2011,2741,2851,3231,3257
NYC,XNN,06/22/2011,Kathmandu,NYC,07/01/2011,2741,3540,4325,4406
NYC,XNN,06/22/2011,Kathmandu,NYC,07/02/2011,3130,3239,3385,3391
